doc_id,Disease,Question
36,Buồng Trứng Đa Nang,"Tôi đang cảm thấy mệt mỏi, da sạm màu và khó khăn trong việc thụ thai. Tôi có thể đang bị bệnh gì?
"
37,Buồng Trứng Đa Nang,"Tôi hay bị đau bụng dưới, kinh nguyệt ra ít và rậm lông ở mặt. Tôi có thể đang bị bệnh gì?
"
38,Buồng Trứng Đa Nang,"Tôi hiện đang có các triệu chứng như da dầu, mụn trứng cá và kinh nguyệt thất thường. Tôi có thể đang bị bệnh gì?
"
39,Buồng Trứng Đa Nang,"Tôi đang cảm thấy lo lắng, trầm cảm và khó giảm cân. Tôi có thể đang bị bệnh gì?"
40,Bàn Chân Đái Tháo Đường,"Tôi hiện đang có các triệu chứng như tê buốt bàn chân và cảm giác đi như trên cát. Tôi có thể đang bị bệnh gì?
"
41,Bàn Chân Đái Tháo Đường,"Tôi đang cảm thấy bàn chân lạnh buốt, da khô và nứt nẻ. Tôi có thể đang bị bệnh gì?
"
42,Bàn Chân Đái Tháo Đường,"Tôi hay bị chuột rút ở bàn chân và có vết loét nhỏ. Tôi có thể đang bị bệnh gì?
"
43,Bàn Chân Đái Tháo Đường,"Tôi đang gặp tình trạng mất cảm giác bàn chân và có vết thương lâu lành. Tôi có thể đang bị bệnh gì?
"
44,Bàn Chân Đái Tháo Đường,"Tôi bị phồng rộp nước ở bàn chân và có dấu hiệu nhiễm trùng. Tôi có thể đang bị bệnh gì?
"
45,Bàn Chân Đái Tháo Đường,"Tôi có các triệu chứng tê bì bàn chân, teo cơ và vết thương chảy dịch mủ. Tôi có thể đang bị bệnh gì?
"
46,Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân chuyển màu đen và có mùi hôi. Tôi có thể đang bị bệnh gì?
"
47,Bàn Chân Đái Tháo Đường,"Tôi hay bị đau nhức xương khớp và có vết loét ở bàn chân. Tôi có thể đang bị bệnh gì?
"
48,Bàn Chân Đái Tháo Đường,"Tôi bị sốt cao, mệt mỏi và vết thương bàn chân lan rộng. Tôi có thể đang bị bệnh gì?
"
49,Bàn Chân Đái Tháo Đường,"Tôi cảm thấy bàn chân nóng rát và có vết loét sâu. Tôi có thể đang bị bệnh gì?
"
50,Bàn Chân Đái Tháo Đường,"Tôi bị mất cảm giác ở ngón chân và có vết thương lâu lành. Tôi có thể đang bị bệnh gì?
"
51,Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân khô ráp, rụng lông và có vết nứt. Tôi có thể đang bị bệnh gì?
"
52,Bàn Chân Đái Tháo Đường,"Tôi bị đau buốt bàn chân về đêm và có vết loét chảy máu. Tôi có thể đang bị bệnh gì?
"
53,Bàn Chân Đái Tháo Đường,"Tôi cảm thấy bàn chân tê cứng và có vết thương nhiễm trùng. Tôi có thể đang bị bệnh gì?
"
54,Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân sưng đỏ và có vết loét chứa mủ. Tôi có thể đang bị bệnh gì?
"
55,Bàn Chân Đái Tháo Đường,"Tôi bị đau nhức xương bàn chân và khó khăn khi đi lại. Tôi có thể đang bị bệnh gì?
"
56,Bàn Chân Đái Tháo Đường,"Tôi thấy ngón chân bị thâm đen và có dấu hiệu hoại tử. Tôi có thể đang bị bệnh gì?
"
57,Bàn Chân Đái Tháo Đường,"Tôi bị sốt, ớn lạnh và vết loét bàn chân lan rộng. Tôi có thể đang bị bệnh gì?
"
58,Bàn Chân Đái Tháo Đường,"Tôi cảm thấy bàn chân yếu ớt và có vết thương lâu lành. Tôi có thể đang bị bệnh gì?
"
59,Bàn Chân Đái Tháo Đường,"Tôi thấy da bàn chân mỏng, dễ bị tổn thương và có vết loét. Tôi có thể đang bị bệnh gì?"
60,Bàng Quang Tăng Hoạt,"Tôi hiện đang có các triệu chứng như buồn tiểu đột ngột và sợ bị rò rỉ nước tiểu. Tôi có thể đang bị bệnh gì?
"
61,Bàng Quang Tăng Hoạt,"Tôi đang cảm thấy tiểu gấp ngay khi vừa có cảm giác buồn tiểu. Tôi có thể đang bị bệnh gì?
"
62,Bàng Quang Tăng Hoạt,"Tôi hay đi tiểu thường xuyên, trên 8 lần trong 24 giờ. Tôi có thể đang bị bệnh gì?
"
63,Bàng Quang Tăng Hoạt,"Tôi hay thức dậy hơn 2 lần trong đêm để đi tiểu. Tôi có thể đang bị bệnh gì?
"
64,Bàng Quang Tăng Hoạt,"Tôi đang gặp phải tình trạng buồn tiểu đột ngột và tiểu không tự chủ. Tôi có thể đang bị bệnh gì?
"
65,Bàng Quang Tăng Hoạt,"Tôi cảm thấy buồn tiểu liên tục và không thể nhịn được. Tôi có thể đang bị bệnh gì?
"
66,Bàng Quang Tăng Hoạt,"Tôi phải đi tiểu nhiều lần trong ngày và cả đêm. Tôi có thể đang bị bệnh gì?
"
67,Bàng Quang Tăng Hoạt,"Tôi thức dậy nhiều lần vào ban đêm vì buồn tiểu. Tôi có thể đang bị bệnh gì?
"
68,Bàng Quang Tăng Hoạt,"Tôi bị són tiểu khi ho hoặc hắt hơi. Tôi có thể đang bị bệnh gì?
"
69,Bàng Quang Tăng Hoạt,"Bàng quang của tôi dường như luôn đầy và cần đi tiểu ngay lập tức. Tôi có thể đang bị bệnh gì?
"
70,Bàng Quang Tăng Hoạt,"Tôi cảm thấy đau hoặc khó chịu khi đi tiểu. Tôi có thể đang bị bệnh gì?
"
71,Bàng Quang Tăng Hoạt,"Tôi gặp khó khăn khi bắt đầu đi tiểu. Tôi có thể đang bị bệnh gì?
"
72,Bàng Quang Tăng Hoạt,"Dòng nước tiểu của tôi yếu hoặc ngắt quãng. Tôi có thể đang bị bệnh gì?
"
73,Bàng Quang Tăng Hoạt,"Tôi cảm thấy bàng quang không hoàn toàn trống rỗng sau khi đi tiểu. Tôi có thể đang bị bệnh gì?
"
74,Bàng Quang Tăng Hoạt,"Tôi bị đau bụng dưới. Tôi có thể đang bị bệnh gì?
"
75,Bàng Quang Tăng Hoạt,"Tôi bị sốt và ớn lạnh. Tôi có thể đang bị bệnh gì?
"
76,Bàng Quang Tăng Hoạt,"Nước tiểu của tôi có màu đục hoặc có máu. Tôi có thể đang bị bệnh gì?
"
77,Bàng Quang Tăng Hoạt,"Tôi có mùi hôi bất thường trong nước tiểu. Tôi có thể đang bị bệnh gì?
"
78,Bàng Quang Tăng Hoạt,"Tôi cảm thấy mệt mỏi và yếu ớt. Tôi có thể đang bị bệnh gì?
"
79,Bàng Quang Tăng Hoạt,Các triệu chứng của tôi ảnh hưởng đến chất lượng cuộc sống của tôi. Tôi có thể đang bị bệnh gì?
80,Béo Phì Độ 1,"Tôi hiện đang có các triệu chứng như số đo vòng eo tăng và thường xuyên có cảm giác đói bụng. Tôi có thể đang bị bệnh gì?
"
81,Béo Phì Độ 1,"Tôi đang cảm thấy thị lực bị giảm sút và xuất hiện chứng ngủ ngáy. Tôi có thể đang bị bệnh gì?
"
82,Béo Phì Độ 1,"Tôi hay bị ợ hơi sau khi ăn và có cảm giác khó thở trong thời gian dài. Tôi có thể đang bị bệnh gì?
"
83,Béo Phì Độ 1,"Tôi đang gặp vấn đề về da như rạn da và sạm da. Tôi có thể đang bị bệnh gì?
"
84,Béo Phì Độ 1,"Tôi cảm thấy cơ thể thường xuyên mệt mỏi và trì trệ, kèm theo đau đầu gối. Tôi có thể đang bị bệnh gì?
"
85,Béo Phì Độ 1,"Tôi hay bị đau lưng và hông, kèm theo số đo vòng eo tăng. Tôi có thể đang bị bệnh gì?
"
86,Béo Phì Độ 1,"Tôi đang gặp vấn đề về chu kỳ kinh nguyệt không đều và thường xuyên có cảm giác đói bụng. Tôi có thể đang bị bệnh gì?
"
87,Béo Phì Độ 1,"Tôi thấy da vùng cổ bị chảy xệ và thị lực bị giảm sút. Tôi có thể đang bị bệnh gì?
"
88,Béo Phì Độ 1,"Tôi hay bị suy giãn tĩnh mạch và xuất hiện chứng ngủ ngáy. Tôi có thể đang bị bệnh gì?
"
89,Béo Phì Độ 1,"Tôi cảm thấy khó thở trong thời gian dài và cơ thể thường xuyên mệt mỏi. Tôi có thể đang bị bệnh gì?
"
90,Béo Phì Độ 1,"Tôi có số đo vòng eo/mông trên 0.85 (nữ) và thường xuyên bị ợ hơi sau khi ăn. Tôi có thể đang bị bệnh gì?
"
91,Béo Phì Độ 1,"Tôi bị đau đầu gối và hông, kèm theo cảm giác mệt mỏi và trì trệ. Tôi có thể đang bị bệnh gì?
"
92,Béo Phì Độ 1,"Tôi thấy da bị rạn và sạm, cùng với chu kỳ kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
93,Béo Phì Độ 1,"Tôi thường xuyên cảm thấy đói bụng và thị lực bị giảm sút. Tôi có thể đang bị bệnh gì?
"
94,Béo Phì Độ 1,"Tôi bị suy giãn tĩnh mạch và da vùng cổ bị chảy xệ. Tôi có thể đang bị bệnh gì?
"
95,Béo Phì Độ 1,"Tôi hay bị đau lưng và xuất hiện chứng ngủ ngáy. Tôi có thể đang bị bệnh gì?
"
96,Béo Phì Độ 1,"Tôi cảm thấy khó thở và cơ thể mệt mỏi, kèm theo số đo vòng eo tăng. Tôi có thể đang bị bệnh gì?
"
97,Béo Phì Độ 1,"Tôi bị ợ hơi sau khi ăn và da bị rạn. Tôi có thể đang bị bệnh gì?
"
98,Béo Phì Độ 1,"Tôi thấy da sạm màu và chu kỳ kinh nguyệt không đều. Tôi có thể đang bị bệnh gì?
"
99,Béo Phì Độ 1,"Tôi bị đau đầu gối và hông, kèm theo thị lực giảm sút. Tôi có thể đang bị bệnh gì?"
100,Béo Phì,"Tôi hiện đang có số đo vòng eo lớn và thường xuyên cảm thấy đói bụng. Tôi có thể đang bị bệnh gì?
"
101,Béo Phì,"Tôi đang cảm thấy khó thở khi vận động và cơ thể mệt mỏi, trì trệ. Tôi có thể đang bị bệnh gì?
"
102,Béo Phì,"Tôi hay bị đau nhức xương khớp, đặc biệt là vùng lưng và hông. Tôi có thể đang bị bệnh gì?
"
103,Béo Phì,"Tôi đang gặp triệu chứng rạn da, sạm da và da vùng cổ bị chảy xệ. Tôi có thể đang bị bệnh gì?
"
104,Béo Phì,"Tôi thường xuyên bị ợ hơi sau khi ăn và có cảm giác đầy bụng, khó tiêu. Tôi có thể đang bị bệnh gì?
"
105,Béo Phì,"Tôi hiện đang có chu kỳ kinh nguyệt không đều và khó thụ thai. Tôi có thể đang bị bệnh gì?
"
106,Béo Phì,"Tôi đang cảm thấy khó thở khi nằm ngửa, phải nằm nghiêng mới dễ thở hơn. Tôi có thể đang bị bệnh gì?
"
107,Béo Phì,"Tôi hay bị ngủ ngáy và thường xuyên thức giấc vào ban đêm. Tôi có thể đang bị bệnh gì?
"
108,Béo Phì,"Tôi đang gặp triệu chứng suy giãn tĩnh mạch và tê bì chân tay. Tôi có thể đang bị bệnh gì?
"
109,Béo Phì,"Tôi thường xuyên bị đau đầu, chóng mặt và thị lực giảm sút. Tôi có thể đang bị bệnh gì?
"
110,Béo Phì,"Tôi hiện đang có huyết áp cao và cholesterol cao. Tôi có thể đang bị bệnh gì?
"
111,Béo Phì,"Tôi đang cảm thấy mệt mỏi, chán ăn và sụt cân không rõ nguyên nhân. Tôi có thể đang bị bệnh gì?
"
112,Béo Phì,"Tôi hay bị khát nước và tiểu nhiều, đặc biệt là vào ban đêm. Tôi có thể đang bị bệnh gì?
"
113,Béo Phì,"Tôi đang gặp triệu chứng rối loạn giấc ngủ và khó tập trung. Tôi có thể đang bị bệnh gì?
"
114,Béo Phì,"Tôi thường xuyên bị táo bón và đầy hơi. Tôi có thể đang bị bệnh gì?
"
115,Béo Phì,"Tôi hiện đang có nguy cơ mắc bệnh tim mạch và tiểu đường. Tôi có thể đang bị bệnh gì?
"
116,Béo Phì,"Tôi đang cảm thấy tự ti về ngoại hình và ngại giao tiếp xã hội. Tôi có thể đang bị bệnh gì?
"
117,Béo Phì,"Tôi hay bị đau nhức xương khớp khi vận động hoặc thay đổi tư thế. Tôi có thể đang bị bệnh gì?
"
118,Béo Phì,"Tôi đang gặp triệu chứng rụng tóc và da khô. Tôi có thể đang bị bệnh gì?
"
119,Béo Phì,"Tôi thường xuyên bị mệt mỏi, khó thở và đau tức ngực khi leo cầu thang hoặc gắng sức. Tôi có thể đang bị bệnh gì?"
120,Băng Huyết Sau Sinh,"Tôi đang ra máu nhiều một cách bất thường sau khi sinh. Tôi có thể đang bị bệnh gì?
"
121,Băng Huyết Sau Sinh,"Tôi thấy máu chảy có màu đỏ tươi và rỉ ra liên tục sau sinh. Tôi có thể đang bị bệnh gì?
"
122,Băng Huyết Sau Sinh,"Tôi cảm thấy mạch nhanh, huyết áp tụt, tay chân lạnh và vã mồ hôi sau sinh. Tôi có thể đang bị bệnh gì?
"
123,Băng Huyết Sau Sinh,"Da của tôi xanh xao và ra máu nhiều sau sinh. Tôi có thể đang bị bệnh gì?
"
124,Băng Huyết Sau Sinh,"Tử cung của tôi có vẻ to ra và mềm nhão sau sinh. Tôi có thể đang bị bệnh gì?
"
125,Băng Huyết Sau Sinh,"Đáy tử cung của tôi lên cao dần sau sinh. Tôi có thể đang bị bệnh gì?
"
126,Băng Huyết Sau Sinh,"Tôi cảm thấy đau bụng dữ dội sau sinh. Tôi có thể đang bị bệnh gì?
"
127,Băng Huyết Sau Sinh,"Tôi bị chóng mặt và choáng váng sau sinh. Tôi có thể đang bị bệnh gì?
"
128,Băng Huyết Sau Sinh,"Tôi cảm thấy khó thở sau sinh. Tôi có thể đang bị bệnh gì?
"
129,Băng Huyết Sau Sinh,"Tôi bị ngất xỉu sau sinh. Tôi có thể đang bị bệnh gì?
"
130,Băng Huyết Sau Sinh,"Vết mổ của tôi chảy máu nhiều sau sinh mổ. Tôi có thể đang bị bệnh gì?
"
131,Băng Huyết Sau Sinh,"Tôi bị sốt sau sinh. Tôi có thể đang bị bệnh gì?
"
132,Băng Huyết Sau Sinh,"Tôi có mùi hôi khó chịu từ vùng kín sau sinh. Tôi có thể đang bị bệnh gì?
"
133,Băng Huyết Sau Sinh,"Tôi cảm thấy ớn lạnh sau sinh. Tôi có thể đang bị bệnh gì?
"
134,Băng Huyết Sau Sinh,"Tôi bị đau đầu dữ dội sau sinh. Tôi có thể đang bị bệnh gì?
"
135,Băng Huyết Sau Sinh,"Tôi bị mờ mắt sau sinh. Tôi có thể đang bị bệnh gì?
"
136,Băng Huyết Sau Sinh,"Tôi cảm thấy buồn nôn và nôn sau sinh. Tôi có thể đang bị bệnh gì?
"
137,Băng Huyết Sau Sinh,"Tôi bị tiêu chảy sau sinh. Tôi có thể đang bị bệnh gì?
"
138,Băng Huyết Sau Sinh,"Tôi bị đau khi đi tiểu sau sinh. Tôi có thể đang bị bệnh gì?
"
139,Băng Huyết Sau Sinh,Tôi bị táo bón sau sinh. Tôi có thể đang bị bệnh gì?
140,Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như sưng ở cổ, khó nuốt và khàn tiếng. Tôi có thể đang bị bệnh gì?
"
141,Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó thở khi gắng sức, ho khan và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
142,Bướu Cổ Lành Tính,"Tôi hay bị ngáy ngủ, khó nuốt và có khối u ở cổ lớn dần. Tôi có thể đang bị bệnh gì?
"
143,Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như sưng ở cổ, khó thở và khàn tiếng. Tôi có thể đang bị bệnh gì?
"
144,Bướu Cổ Lành Tính,"Tôi đang cảm thấy mệt mỏi, tăng cân và không chịu được lạnh. Tôi có thể đang bị bệnh gì?
"
145,Bướu Cổ Lành Tính,"Tôi hay bị đánh trống ngực, khó ngủ và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
146,Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như khô da, táo bón và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
147,Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó chịu ở cổ họng, khó nuốt và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
148,Bướu Cổ Lành Tính,"Tôi hay bị run tay, lo lắng và sụt cân không rõ lý do. Tôi có thể đang bị bệnh gì?
"
149,Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như táo bón, da khô và rụng tóc. Tôi có thể đang bị bệnh gì?
"
150,Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó thở, khàn tiếng và có khối u ở cổ phát triển nhanh. Tôi có thể đang bị bệnh gì?
"
151,Bướu Cổ Lành Tính,"Tôi hay bị run tay, lo lắng và khó chịu nóng bức. Tôi có thể đang bị bệnh gì?
"
152,Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như mệt mỏi, tăng cân và chậm chạp. Tôi có thể đang bị bệnh gì?
"
153,Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó chịu ở cổ họng, khó nuốt và có khối u chèn ép. Tôi có thể đang bị bệnh gì?
"
154,Bướu Cổ Lành Tính,"Tôi hay bị đánh trống ngực, mất ngủ và giảm cân không rõ lý do. Tôi có thể đang bị bệnh gì?
"
155,Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như táo bón, da khô và rụng tóc nhiều. Tôi có thể đang bị bệnh gì?
"
156,Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó thở, khàn tiếng và có khối u ở cổ lớn dần. Tôi có thể đang bị bệnh gì?
"
157,Bướu Cổ Lành Tính,"Tôi hay bị run tay, lo lắng và khó chịu nóng bức. Tôi có thể đang bị bệnh gì?
"
158,Bướu Cổ Lành Tính,"Tôi hiện đang có các triệu chứng như mệt mỏi, tăng cân và chậm chạp. Tôi có thể đang bị bệnh gì?
"
159,Bướu Cổ Lành Tính,"Tôi đang cảm thấy khó chịu ở cổ họng, khó nuốt và có khối u chèn ép. Tôi có thể đang bị bệnh gì?"
160,Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như khó thở, ho khan và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
161,Bướu Cổ Ác Tính,"Tôi đang cảm thấy mệt mỏi, sụt cân không rõ nguyên nhân và có hạch ở cổ. Tôi có thể đang bị bệnh gì?
"
162,Bướu Cổ Ác Tính,"Tôi hay đau xương, khó thở và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
163,Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như khàn tiếng, khó nuốt và có khối u phát triển nhanh ở cổ. Tôi có thể đang bị bệnh gì?
"
164,Bướu Cổ Ác Tính,"Tôi đang cảm thấy lo lắng, tim đập nhanh và sụt cân không rõ lý do. Tôi có thể đang bị bệnh gì?
"
165,Bướu Cổ Ác Tính,"Tôi hay bị đau đầu, mờ mắt và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
166,Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như vàng da, đau bụng và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
167,Bướu Cổ Ác Tính,"Tôi đang cảm thấy yếu cơ, khó thở và có hạch ở cổ. Tôi có thể đang bị bệnh gì?
"
168,Bướu Cổ Ác Tính,"Tôi hay bị ho ra máu, đau ngực và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
169,Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như sưng phù mặt, khó thở và có khối u chèn ép ở cổ. Tôi có thể đang bị bệnh gì?
"
170,Bướu Cổ Ác Tính,"Tôi đang cảm thấy đau nhức xương, gãy xương tự nhiên và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
171,Bướu Cổ Ác Tính,"Tôi hay bị khó nuốt, khàn tiếng và có khối u ở cổ phát triển nhanh. Tôi có thể đang bị bệnh gì?
"
172,Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như mệt mỏi, chán ăn và sụt cân không rõ nguyên nhân. Tôi có thể đang bị bệnh gì?
"
173,Bướu Cổ Ác Tính,"Tôi đang cảm thấy khó thở khi nằm, ho ra máu và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
174,Bướu Cổ Ác Tính,"Tôi hay bị đau đầu dữ dội, buồn nôn và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
175,Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như sưng hạch bạch huyết, mệt mỏi và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
176,Bướu Cổ Ác Tính,"Tôi đang cảm thấy yếu cơ, khó thở khi gắng sức và có khối u chèn ép ở cổ. Tôi có thể đang bị bệnh gì?
"
177,Bướu Cổ Ác Tính,"Tôi hay bị đau nhức xương, tê bì chân tay và có tiền sử bướu cổ. Tôi có thể đang bị bệnh gì?
"
178,Bướu Cổ Ác Tính,"Tôi hiện đang có các triệu chứng như khó nuốt, khàn tiếng kéo dài và có khối u ở cổ. Tôi có thể đang bị bệnh gì?
"
179,Bướu Cổ Ác Tính,"Tôi đang cảm thấy khó thở, ho ra máu và có hạch nổi ở cổ. Tôi có thể đang bị bệnh gì?"
180,Bướu Giáp Keo,"Tôi thấy tuyến giáp của mình phình to, đôi khi gây khó thở. Tôi có thể đang bị bệnh gì?
"
181,Bướu Giáp Keo,"Tôi hay bị khó nuốt, cảm giác như có vật gì chèn ép thực quản. Tôi có thể đang bị bệnh gì?
"
182,Bướu Giáp Keo,"Tôi đang cảm thấy tuyến giáp phình to, đôi khi gây khó thở khi nằm. Tôi có thể đang bị bệnh gì?
"
183,Bướu Giáp Keo,"Tôi bị phình tĩnh mạch cổ, khó thở và tuyến giáp to. Tôi có thể đang bị bệnh gì?
"
184,Bướu Giáp Keo,"Tôi hay bị chóng mặt khi đưa cánh tay lên cao, tuyến giáp phình to. Tôi có thể đang bị bệnh gì?
"
185,Bướu Giáp Keo,"Tôi đang cảm thấy tuyến giáp của mình có một nốt nhỏ, đôi khi gây khó nuốt. Tôi có thể đang bị bệnh gì?
"
186,Bướu Giáp Keo,"Tôi bị khó thở, tuyến giáp to và phình tĩnh mạch cổ. Tôi có thể đang bị bệnh gì?
"
187,Bướu Giáp Keo,"Tôi hay bị chóng mặt khi vận động mạnh, tuyến giáp phình to. Tôi có thể đang bị bệnh gì?
"
